1,北京境外输入病例隔离14天后发病 母亲、弟弟、外公均确诊4月16日，在北京市新型冠状病毒肺炎疫情防控工作新闻发布会上，北京市疾控中心副主任庞星火通报了境外输入关联确诊病例相关情况，为聚集性病例，情况如下：4月15日确诊的3名境外输入关联确诊病例为14日境外输入确诊病例的家庭密切接触者
2,我了个天，这个真不能怪留学生，啥啥都做了回家之后也还好好自我隔离了啊…真惨
4,境外输入病毒与境内不同啊，还是应该延长隔离时间吧！这个都隔离14天期满了，最后还是确诊病例！他的那些62名密接人在隔离前会不会再传染其它人呢？
2,建议入境人员还是多观察几天！真的，既然回来了不在乎这几天？特殊时期互相理解吧。
5,迷惑云南不理智开学  无意冒犯云南非官方通知开学开学不提前通知外地生无法正常到达学校上课??教育厅并未下达文件??
3,学生安全谁来负责输入型高峰期云南开学时间不合理教育厅对提议和投诉电话不管不顾??云南官方人员对提议学生进行言语辱骂诱导学生牵字出事自己负责
2,回来是人家的权利啊……只要别人乖乖配合也没什么啊…… 这病毒真厉害！我们还是要谨慎行事！ 看来14天不行啊，应该延长隔离时间
2,最有可能是飞机上感染的无症状者，隔离前检测不出来，14天未发病，从隔离点出来了精神松懈下来，又传给其他人了！
4,怎么那么多密切接触者 所以最好还是隔离21天比较好，这病毒现在越来越狡猾了！唉…… 核酸检测都不能确定有没有感染病毒了吗，这个病毒太厉害了
2,我觉得这个病毒有个特点：休息充足就不容易发作，潜伏期可能超过14天；还有种可能就是隔离点出现延期感染，比如在隔离第10天感染了。解决的方法应该是加强隔离环境的管理、消毒，并要求每天隔离人员房内自跑五千米。
1,有些省份入境人员集中隔离14天后，在家观察14天。这个措施是非常保险的。建议应该在全国口岸推行。
2,他最后一次检测的时间是4月6号，隔离不到14天！如果在隔离第一天就检测三次，那么后面的隔离还有什么意义
3,回来气死你这种臭屌丝呀 脑子有坑啊 找骂？我看你想的挺多 脑子有毛病
4,境外输入病毒与境内不同啊，还是应该延长隔离时间吧！这个都隔离14天期满了，最后还是确诊病例！延长一下隔离期吧，太难了。感觉十四天不够啊，病毒太狡猾了
4,境外输入传染的好多无症状，而且超过14天潜伏期，感觉境外病毒破坏力和传染力更强，还是要做好隔离啊
2,潜伏期的意思就是可能在最后几天犯病呀，前面没犯病肯定检不出来呗，而且他们这个隔离点不应该提前检测，起码在隔离结束的那一天得再测一次，没问题才能走
5,还记得天津籍武汉大学生吗？隔离期满回家后隔离在车库，0传播，后来还献血来着。。居家隔离14天，不能形式主义。。。
5,昨天报道的时候不是说他解除隔离回家，依然单独用餐，在单独房间居住吗？咋今天就变成一起用餐了 你看记录，应该是您配不配，又不是我看
4,有点可怕，关键是怎么办是不是隔离完回家再隔离14天 国外回来的带的毒比较厉害，潜伏的长
5,现在只要回国就要检测，无症状患者好办，核算呈阳性直接隔离到他连续转阴为止。文中这种潜伏期超长的情况才叫讨厌，因为在潜伏期中他不光无症状，还是阴性，发病以后才会变阳
5,已经出现多个14天之后发病的了 国家为什么不延长隔离期14天已经不靠谱了！！！！难道要大规模传染了 才采取措施怎么还不吸取教训！！！
4,停航关口岸防偷渡，当机立断吧，别再犹豫不决了，二次暴发就完蛋了。这例潜伏期也太狠了
5,但凡你们有点良知，能来考虑下因为那些次小留学生入境带来的不利影响吗？国内多少农村的孩子，现在家长没法有收入，会导致辍学的？你们一直考虑这些所谓的166人，国内得有多少孩子辍学吗？有良知吗？我知道，大家都在欺负他们可能不懂得上网，不懂得上微博。
5,非要回国 这下家里人都感染 还一堆接触者需要观察占用资源 满意吗？ 留学生别都往国内跑了好伐
2,微博看见网图说这家人12号还带孩子参加了冰球户外活动 到底是真是假 10号大儿子就有症状12号居然还出去参加活动
4,好害怕啊！到底要怎么做呢？真的好怕第二轮再来，如果再卷土重来的话怕是比第一次要严重了
5,当然可以简单理解为有的人潜伏期超长，但是他们家人为什么潜伏期那么短？还是觉得蹊跷。已经出现多例14天后发病的情况，隔离期就不能改成21天，这么教条。
5,案例有些奇葩，应该属于被抛弃的案例。确定隔离期间没有感染？集中隔离的人都是高风险的！
5,建议对重点人及人群做新冠病毒抗体检测，确诊确定是不是感染或者感染过新型冠状病毒的效率高又花钱少。
5,北京对境外输入的人员管理一直不严格，防控意识不强，出现好几次问题。这次境外输入人员造成家庭传播感染，隔离了两周，也做过核酸检测，但血清和CT检测了吗？隔离回家后是否继续做医学观察2周？，街道社区人员是不是每天量体温？湖北武汉现在还有无症状感染者呢。
5,补充下我只是针对“谁不想回到父母身边”这句话，你咋不让她换位思考老实听话待在家里不要乱跑。现在让我换位思考了？双标不要太明显哦
3,你别在这喷我只是用那个人的话回说她了而已，你这是过得有多不如意啊，总得找着一个点骂 你好好吃屎不行吗？为啥还要出来乱吠
